id,label
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/91d93bb89b.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/a6ffb7d42c.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/646ef2d524.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/ea2c6698a5.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/f5233df09e.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/e87258a653.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/2e5fcd3166.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/48f9714e88.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/0833be035d.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/d858292db5.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/fd8146ff6f.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/1565d47052.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/4435c083cc.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/074b9fde7e.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/85a1996969.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/38b4eb0263.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/4007c14130.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/bb1e6421b5.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/429bb7eaa1.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/119a576dc0.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/585c3c85ae.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/2122f8b27a.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/5fb2446fe6.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/757a38c53d.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/b3ebdd0017.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/f5f50fbd14.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/5b5d5b9f12.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/4babeb4da6.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/f2b0b58300.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/45eb0ec094.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/3ea89ae634.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/d26e9b2b9f.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/cf7ab3ef73.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/56450cb5c7.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/11542befa2.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/ee6aa698d6.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/56722beac3.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/6ba0506d24.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/5194f2cf36.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/3a4723879a.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/11da738e5b.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/517e470824.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/f51b039c59.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/045b5209ea.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/d30428fe4f.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/6cef7ef646.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/1c4091907d.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/6ed81fab46.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/907ed81d57.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/294efba79d.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/8e789273a4.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/e2105a439d.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/9dc88ff28b.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/bf7e143c4f.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/5390fcec4b.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/7d111838b9.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/3f5437b368.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/e7a2cf71c0.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/eee488e8fe.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/4faf0d51d8.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/8319dc5c6e.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/71197dab39.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/c257372a2c.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/372c4e7b38.jpg,0
/kaggle/input/test-labeldiri/test - label diri/nonfall_jumping/be5cbb6969.jpg,0
